Date,Open,High,Low,Close,Volume
10/17/2023,"41.43","42.37","41.43","41.98","16,982,350"
10/16/2023,"41.47","42.17","41.40","41.65","18,418,961"
10/13/2023,"40.83","41.64","40.47","40.96","28,092,150"
10/12/2023,"39.69","40.01","39.32","39.74","14,878,060"
10/11/2023,"40.01","40.21","39.25","39.69","14,835,940"
10/10/2023,"39.92","40.38","39.72","39.82","14,429,730"
10/09/2023,"39.11","39.80","39.10","39.70","12,096,620"
10/06/2023,"38.89","39.89","38.76","39.69","13,976,760"
10/05/2023,"38.76","39.42","38.60","39.30","11,820,590"
10/04/2023,"38.51","39.11","38.39","38.97","14,343,460"
10/03/2023,"39.38","39.47","38.47","38.67","19,252,891"
10/02/2023,"40.70","40.76","39.44","39.61","15,102,030"
09/29/2023,"41.20","41.39","40.58","40.86","13,124,470"
09/28/2023,"40.84","41.20","40.72","40.91","12,454,560"
09/27/2023,"40.63","41.20","40.46","40.86","11,815,520"
09/26/2023,"41.05","41.31","40.36","40.65","15,219,390"
09/25/2023,"40.88","41.62","40.77","41.56","10,624,000"
09/22/2023,"42.33","42.39","41.15","41.23","16,783,109"
09/21/2023,"42.75","43.17","42.29","42.32","14,990,850"
09/20/2023,"43.40","43.72","42.82","42.87","16,794,930"
09/19/2023,"43.55","43.74","42.90","43.22","15,319,630"
09/18/2023,"42.99","43.60","42.77","43.43","15,849,750"
09/15/2023,"42.67","43.31","42.61","42.95","47,371,770"
09/14/2023,"42.81","43.39","42.70","43.05","20,764,471"
09/13/2023,"42.71","42.88","42.12","42.25","15,274,150"
09/12/2023,"41.41","42.97","41.27","42.54","18,393,939"
09/11/2023,"41.38","41.72","41.21","41.33","15,053,850"
09/08/2023,"40.45","41.12","40.33","41.00","13,922,600"
09/07/2023,"40.73","41.02","40.30","40.43","13,800,980"
09/06/2023,"41.21","41.40","40.60","41.02","18,775,430"
09/05/2023,"41.65","42.28","41.31","41.54","14,337,170"
09/01/2023,"41.55","41.99","41.51","41.65","12,890,290"
08/31/2023,"41.68","41.71","41.11","41.29","21,534,920"
08/30/2023,"42.06","42.13","41.47","41.54","12,536,290"
08/29/2023,"41.87","42.37","41.65","42.00","14,404,780"
08/28/2023,"41.41","42.07","41.29","41.88","10,314,540"
08/25/2023,"41.64","41.80","40.77","41.23","12,534,670"
08/24/2023,"41.45","42.18","41.39","41.43","10,363,280"
08/23/2023,"41.56","41.64","41.22","41.61","11,927,390"
08/22/2023,"42.46","42.57","41.43","41.50","13,634,780"
08/21/2023,"42.65","42.87","42.12","42.49","12,600,400"
08/18/2023,"42.10","42.79","42.05","42.50","10,797,340"
08/17/2023,"42.47","42.75","42.26","42.47","12,685,970"
08/16/2023,"42.66","42.73","42.14","42.22","10,076,680"
08/15/2023,"43.13","43.26","42.52","42.73","13,835,860"
08/14/2023,"43.53","43.91","43.27","43.74","10,676,970"
08/11/2023,"43.51","43.85","43.38","43.73","7,316,190"
08/10/2023,"44.00","44.39","43.62","43.67","11,982,250"
08/09/2023,"44.22","44.25","43.57","43.72","11,973,850"
08/08/2023,"43.98","44.55","43.38","44.48","14,519,960"
08/07/2023,"45.18","45.46","44.92","45.06","10,860,290"
